T,Binder cumulant
1,1.0022
1.01,1.00267
1.02,1.00314
1.03,1.00394
1.04,1.00532
1.05,1.00612
1.06,1.00794
1.07,1.01024
1.08,1.01475
1.09,1.02025
1.1,1.03226
1.11,1.05144
1.12,1.08054
1.13,1.13672
1.14,1.21403
1.15,1.33818
1.16,1.53119
1.17,1.67528
1.18,1.88863
1.19,2.05686
1.2,2.19814
1.21,2.341
1.22,2.44797
1.23,2.54768
1.24,2.58966
1.25,2.70835
1.26,2.73036
1.27,2.76593
1.28,2.76423
1.29,2.81482
1.3,2.84014
1.31,2.84687
1.32,2.8709
1.33,2.82613
1.34,2.92331
1.35,2.86603
1.36,2.92779
1.37,2.89228
1.38,3.02154
1.39,2.98016
1.4,3.01291
