T,Magnetization
1,0.911377
1.00645,0.906799
1.0129,0.902559
1.01935,0.897224
1.02581,0.892066
1.03226,0.886774
1.03871,0.880794
1.04516,0.874118
1.05161,0.86747
1.05806,0.859189
1.06452,0.851315
1.07097,0.841277
1.07742,0.832069
1.08387,0.820732
1.09032,0.806973
1.09677,0.792495
1.10323,0.775949
1.10968,0.75549
1.11613,0.731622
1.12258,0.701822
1.12903,0.670664
1.13548,0.629004
1.14194,0.592992
1.14839,0.539443
1.15484,0.500273
1.16129,0.447731
1.16774,0.404463
1.17419,0.36736
1.18065,0.330364
1.1871,0.305348
1.19355,0.273205
1.2,0.257721
