T,Specific heat
0.1,0
0.2,0
0.3,0.000908766
0.4,0.00939446
0.5,0.0485507
0.6,0.130636
0.7,0.292432
0.8,0.526695
0.9,0.889721
1,1.43278
1.1,2.69872
1.2,2.7054
1.3,1.41105
1.4,1.02049
1.5,0.785004
1.6,0.661888
1.7,0.524306
1.8,0.464721
1.9,0.399282
2,0.327495
2.1,0.295715
2.2,0.270107
2.3,0.240779
2.4,0.223241
2.5,0.192776
2.6,0.176012
2.7,0.164178
2.8,0.150238
2.9,0.138249
3,0.129813
3.1,0.121551
3.2,0.113536
3.3,0.103454
3.4,0.0963577
3.5,0.0915906
3.6,0.0845193
3.7,0.080785
3.8,0.076333
3.9,0.0699873
4,0.0689313
