T,Specific heat
1,1.46286
1.00645,1.49873
1.0129,1.54034
1.01935,1.61709
1.02581,1.64908
1.03226,1.75274
1.03871,1.81929
1.04516,1.89759
1.05161,1.89718
1.05806,2.03438
1.06452,2.0903
1.07097,2.2498
1.07742,2.29673
1.08387,2.48785
1.09032,2.50594
1.09677,2.71978
1.10323,2.8929
1.10968,3.10477
1.11613,3.28998
1.12258,3.59299
1.12903,3.74034
1.13548,3.96629
1.14194,4.06256
1.14839,4.06296
1.15484,3.93773
1.16129,3.71725
1.16774,3.46196
1.17419,3.22726
1.18065,2.93686
1.1871,2.84023
1.19355,2.52028
1.2,2.41688
