T,Magnetization
0.8,0.97963
0.81,0.977998
0.82,0.976219
0.83,0.974319
0.84,0.972121
0.85,0.970113
0.86,0.967783
0.87,0.965278
0.88,0.962682
0.89,0.959796
0.9,0.956852
0.91,0.953615
0.92,0.950151
0.93,0.946459
0.94,0.94255
0.95,0.938324
0.96,0.933559
0.97,0.928987
0.98,0.923537
0.99,0.917805
1,0.911369
1.01,0.904501
1.02,0.897007
1.03,0.88815
1.04,0.879177
1.05,0.86869
1.06,0.85702
1.07,0.843625
1.08,0.829756
1.09,0.81213
1.1,0.794101
1.11,0.774315
1.12,0.750358
1.13,0.725152
1.14,0.698654
1.15,0.669135
1.16,0.640232
1.17,0.610007
1.18,0.577332
1.19,0.545365
1.2,0.516981
1.21,0.489253
1.22,0.461692
1.23,0.434285
1.24,0.411768
1.25,0.388981
1.26,0.369007
1.27,0.350888
1.28,0.334035
1.29,0.317433
1.3,0.304718
1.31,0.291591
1.32,0.279612
1.33,0.269605
1.34,0.258292
1.35,0.250771
1.36,0.240893
1.37,0.234312
1.38,0.227121
1.39,0.221058
1.4,0.214249
1.41,0.209257
1.42,0.204099
1.43,0.19901
1.44,0.194375
1.45,0.189288
1.46,0.18536
1.47,0.18111
1.48,0.178619
1.49,0.174497
1.5,0.171828
1.51,0.169087
1.52,0.164631
1.53,0.163517
1.54,0.160023
1.55,0.157171
1.56,0.154885
1.57,0.153265
1.58,0.150502
1.59,0.14882
1.6,0.14653
