T,Magnetization
1,0.91131
1.01,0.904251
1.02,0.897834
1.03,0.889261
1.04,0.878399
1.05,0.868717
1.06,0.857911
1.07,0.84548
1.08,0.830021
1.09,0.812071
1.1,0.795324
1.11,0.773882
1.12,0.751304
1.13,0.729046
1.14,0.697532
1.15,0.671895
1.16,0.635904
1.17,0.605865
1.18,0.57515
1.19,0.548359
1.2,0.515245
1.21,0.489129
1.22,0.462402
1.23,0.433883
1.24,0.410712
1.25,0.38814
1.26,0.369122
1.27,0.350003
1.28,0.338034
1.29,0.320946
1.3,0.304405
1.31,0.292838
1.32,0.281209
1.33,0.273325
1.34,0.261238
1.35,0.252784
1.36,0.239492
1.37,0.232367
1.38,0.2316
1.39,0.222464
1.4,0.213318
