T,Magnetization
0.1,1
0.2,1
0.3,0.999996
0.4,0.999906
0.5,0.999292
0.6,0.997024
0.7,0.991398
0.8,0.979634
0.9,0.956897
1,0.911288
1.1,0.785075
1.2,0.252639
1.3,0.120178
1.4,0.0851435
1.5,0.0685783
1.6,0.0583528
1.7,0.0524259
1.8,0.0471974
1.9,0.0439579
2,0.0413644
2.1,0.0392953
2.2,0.0378559
2.3,0.0360454
2.4,0.0348589
2.5,0.0339635
2.6,0.0329436
2.7,0.0319615
2.8,0.0314841
2.9,0.0307591
3,0.0302596
3.1,0.0296367
3.2,0.0285991
3.3,0.0286786
3.4,0.0283491
3.5,0.0278826
3.6,0.0279231
3.7,0.0274086
3.8,0.0272882
3.9,0.0269487
4,0.0266946
