T,Specific heat
0.8,0.525985
0.81,0.55566
0.82,0.580982
0.83,0.615516
0.84,0.653554
0.85,0.684467
0.86,0.718154
0.87,0.756841
0.88,0.790901
0.89,0.832138
0.9,0.871206
0.91,0.917658
0.92,0.967986
0.93,1.01359
0.94,1.06732
0.95,1.12777
0.96,1.19225
0.97,1.23466
0.98,1.30509
0.99,1.37076
1,1.44378
1.01,1.53389
1.02,1.614
1.03,1.71471
1.04,1.80798
1.05,1.92482
1.06,2.02366
1.07,2.17984
1.08,2.29573
1.09,2.452
1.1,2.58057
1.11,2.70254
1.12,2.85641
1.13,2.97364
1.14,3.05403
1.15,3.09745
1.16,3.12192
1.17,3.08411
1.18,3.01744
1.19,2.9511
1.2,2.82444
1.21,2.67717
1.22,2.5454
1.23,2.39248
1.24,2.26594
1.25,2.12094
1.26,2.00217
1.27,1.89507
1.28,1.77754
1.29,1.68391
1.3,1.60209
1.31,1.52146
1.32,1.44079
1.33,1.38828
1.34,1.31859
1.35,1.28162
1.36,1.21126
1.37,1.17467
1.38,1.14068
1.39,1.09744
1.4,1.06044
1.41,1.02937
1.42,0.99315
1.43,0.972751
1.44,0.940487
1.45,0.915408
1.46,0.894583
1.47,0.866339
1.48,0.84515
1.49,0.833868
1.5,0.809242
1.51,0.792849
1.52,0.76724
1.53,0.759379
1.54,0.73946
1.55,0.718298
1.56,0.706712
1.57,0.69013
1.58,0.676893
1.59,0.665222
1.6,0.647494
