T,Specific heat
1,1.41931
1.01,1.54283
1.02,1.63337
1.03,1.67675
1.04,1.79446
1.05,1.96371
1.06,2.03854
1.07,2.24245
1.08,2.35151
1.09,2.53504
1.1,2.76007
1.11,3.02986
1.12,3.18168
1.13,3.36972
1.14,3.53717
1.15,3.54936
1.16,3.45049
1.17,3.36546
1.18,3.17452
1.19,2.965
1.2,2.79849
1.21,2.51294
1.22,2.28654
1.23,2.12335
1.24,2.04234
1.25,1.86832
1.26,1.75453
1.27,1.64345
1.28,1.60997
1.29,1.48052
1.3,1.44918
1.31,1.33917
1.32,1.33087
1.33,1.26129
1.34,1.20432
1.35,1.2008
1.36,1.13564
1.37,1.1462
1.38,1.10146
1.39,1.01529
1.4,1.03327
