T,Specific heat
0.1,0
0.2,0
0.3,0.000775055
0.4,0.00965808
0.5,0.0456034
0.6,0.13734
0.7,0.282839
0.8,0.526279
0.9,0.882594
1,1.42542
1.1,2.83624
1.2,2.33657
1.3,1.43246
1.4,1.05014
1.5,0.79241
1.6,0.632585
1.7,0.532716
1.8,0.469753
1.9,0.398655
2,0.343895
2.1,0.309554
2.2,0.264928
2.3,0.242538
2.4,0.221246
2.5,0.193726
2.6,0.178901
2.7,0.159652
2.8,0.151752
2.9,0.138459
3,0.126183
3.1,0.118413
3.2,0.111243
3.3,0.103212
3.4,0.0969178
3.5,0.089069
3.6,0.0853851
3.7,0.0808493
3.8,0.0776122
3.9,0.0717399
4,0.0692443
