T,Susceptibility
1,104.398
1.01,100.739
1.02,82.665
1.03,92.6168
1.04,91.7575
1.05,87.7079
1.06,88.5864
1.07,85.6862
1.08,83.1838
1.09,78.871
1.1,75.8003
1.11,71.9122
1.12,67.814
1.13,64.0687
1.14,58.9666
1.15,54.999
1.16,49.9754
1.17,45.8311
1.18,41.799
1.19,38.3348
1.2,34.4941
1.21,31.3553
1.22,28.2908
1.23,25.328
1.24,22.8287
1.25,20.6281
1.26,18.7369
1.27,17.0065
1.28,15.8312
1.29,14.3689
1.3,13.0155
1.31,11.99
1.32,11.08
1.33,10.4266
1.34,9.52888
1.35,8.88412
1.36,8.08448
1.37,7.57134
1.38,7.37861
1.39,6.80948
1.4,6.28594
